"Time","value"
2026-01-15 16:08:04,-0.887
2026-01-15 16:08:04,-0.887
2026-01-15 16:08:04,-0.887
2026-01-15 16:08:04,-0.817
2026-01-15 16:08:04,-0.799
2026-01-15 16:08:04,-0.834
2026-01-15 16:08:04,-0.834
2026-01-15 16:08:04,-0.939
2026-01-15 16:08:04,-0.887
2026-01-15 16:08:04,-0.904
2026-01-15 16:08:04,-0.904
2026-01-15 16:08:04,-0.852
2026-01-15 16:08:04,-0.904
2026-01-15 16:08:04,-0.817
2026-01-15 16:08:04,-0.764
2026-01-15 16:08:04,-0.904
2026-01-15 16:08:04,-0.817
2026-01-15 16:08:04,-0.869
2026-01-15 16:08:04,-0.852
2026-01-15 16:08:04,-0.939
2026-01-15 16:08:04,-0.887
2026-01-15 16:08:04,-0.904
2026-01-15 16:08:04,-0.852
2026-01-15 16:08:04,-0.869
2026-01-15 16:08:04,-0.904
2026-01-15 16:08:04,-0.887
2026-01-15 16:08:04,-0.904
2026-01-15 16:08:04,-0.852
2026-01-15 16:08:04,-0.834
2026-01-15 16:08:04,-0.869
2026-01-15 16:08:04,-0.852
2026-01-15 16:08:04,-0.817
2026-01-15 16:08:04,-0.834
2026-01-15 16:08:04,-0.852
2026-01-15 16:08:04,-0.834
2026-01-15 16:08:04,-0.799
2026-01-15 16:08:04,-0.799
2026-01-15 16:08:04,-0.799
2026-01-15 16:08:04,-0.869
2026-01-15 16:08:04,-0.904
2026-01-15 16:08:04,-0.869
2026-01-15 16:08:04,-0.904
2026-01-15 16:08:04,-0.852
2026-01-15 16:08:04,-0.904
2026-01-15 16:08:04,-0.817
2026-01-15 16:08:04,-0.887
2026-01-15 16:08:04,-0.869
2026-01-15 16:08:04,-0.887
2026-01-15 16:08:04,-0.869
2026-01-15 16:08:04,-0.869
2026-01-15 16:08:04,-0.852
2026-01-15 16:08:04,-0.834
2026-01-15 16:08:04,-0.834
2026-01-15 16:08:04,-0.834
2026-01-15 16:08:04,-0.782
2026-01-15 16:08:04,-0.747
2026-01-15 16:08:04,-0.799
2026-01-15 16:08:04,-0.852
2026-01-15 16:08:04,-0.869
2026-01-15 16:08:04,-0.904
2026-01-15 16:08:04,-0.904
2026-01-15 16:08:05,-0.869
2026-01-15 16:08:05,-0.887
2026-01-15 16:08:05,-0.922
2026-01-15 16:08:05,-0.887
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.834
2026-01-15 16:08:05,-0.887
2026-01-15 16:08:05,-0.869
2026-01-15 16:08:05,-0.887
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.887
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.869
2026-01-15 16:08:05,-0.922
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.834
2026-01-15 16:08:05,-0.799
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.817
2026-01-15 16:08:05,-0.817
2026-01-15 16:08:05,-0.799
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.939
2026-01-15 16:08:05,-0.887
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.869
2026-01-15 16:08:05,-0.834
2026-01-15 16:08:05,-0.817
2026-01-15 16:08:05,-0.887
2026-01-15 16:08:05,-0.904
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.922
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.887
2026-01-15 16:08:05,-0.904
2026-01-15 16:08:05,-0.904
2026-01-15 16:08:05,-0.904
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.834
2026-01-15 16:08:05,-0.834
2026-01-15 16:08:05,-0.869
2026-01-15 16:08:05,-0.922
2026-01-15 16:08:05,-0.834
2026-01-15 16:08:05,-0.782
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.887
2026-01-15 16:08:05,-0.922
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.869
2026-01-15 16:08:05,-0.904
2026-01-15 16:08:05,-0.887
2026-01-15 16:08:05,-0.834
2026-01-15 16:08:05,-0.887
2026-01-15 16:08:05,-0.869
2026-01-15 16:08:05,-0.799
2026-01-15 16:08:05,-0.887
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.939
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.817
2026-01-15 16:08:05,-0.799
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.817
2026-01-15 16:08:05,-0.904
2026-01-15 16:08:05,-0.904
2026-01-15 16:08:05,-0.922
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.869
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.887
2026-01-15 16:08:05,-0.869
2026-01-15 16:08:05,-0.834
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.904
2026-01-15 16:08:05,-0.834
2026-01-15 16:08:05,-0.904
2026-01-15 16:08:05,-0.869
2026-01-15 16:08:05,-0.834
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.817
2026-01-15 16:08:05,-0.957
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.887
2026-01-15 16:08:05,-0.869
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.834
2026-01-15 16:08:05,-0.904
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.869
2026-01-15 16:08:05,-0.939
2026-01-15 16:08:05,-0.852
2026-01-15 16:08:05,-0.887
2026-01-15 16:08:05,-0.904
2026-01-15 16:08:05,-0.869
2026-01-15 16:08:05,-0.887
2026-01-15 16:08:05,-0.834
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.834
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.869
2026-01-15 16:08:06,-0.904
2026-01-15 16:08:06,-0.869
2026-01-15 16:08:06,-0.904
2026-01-15 16:08:06,-0.869
2026-01-15 16:08:06,-0.939
2026-01-15 16:08:06,-0.869
2026-01-15 16:08:06,-0.904
2026-01-15 16:08:06,-0.904
2026-01-15 16:08:06,-0.869
2026-01-15 16:08:06,-0.834
2026-01-15 16:08:06,-0.922
2026-01-15 16:08:06,-0.869
2026-01-15 16:08:06,-0.852
2026-01-15 16:08:06,-0.957
2026-01-15 16:08:06,-0.852
